event-id,visible,timestamp,location-long,location-lat,location-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
40248660599,true,2023-05-16 21:01:05.000,-82.8066860000032,34.6384279999984,41.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660600,true,2023-05-16 23:01:00.000,-82.8067280000032,34.6384819999984,35.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660601,true,2023-05-17 00:00:36.000,-82.8068140000032,34.6384709999983,9.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660602,true,2023-05-17 01:00:54.000,-82.8066860000032,34.6385029999983,35.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660603,true,2023-05-17 02:02:30.000,-82.8035100000032,34.6387069999984,46.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660604,true,2023-05-17 06:02:05.000,-82.7986930000032,34.6388999999984,35.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660605,true,2023-05-17 07:01:41.000,-82.7985320000031,34.6391359999984,40.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660606,true,2023-05-17 09:01:50.000,-82.8010310000032,34.6407349999984,17.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660607,true,2023-05-17 13:02:27.000,-82.8058270000032,34.6384919999983,43.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660608,true,2023-05-17 14:01:06.000,-82.8067390000032,34.6384169999984,39.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660609,true,2023-05-17 17:00:50.000,-82.8067820000032,34.6384919999983,13.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660610,true,2023-05-17 18:01:04.000,-82.8068140000032,34.6385029999984,39.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660611,true,2023-05-17 19:01:00.000,-82.8067500000032,34.6384709999984,38.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660612,true,2023-05-18 02:00:54.000,-82.8061280000032,34.6385249999984,34.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660613,true,2023-05-18 11:01:35.000,-82.8035420000032,34.6408419999983,33.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660614,true,2023-05-18 14:00:55.000,-82.8059240000032,34.6396299999984,18.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660615,true,2023-05-18 16:01:00.000,-82.8059130000032,34.6396729999983,30.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660616,true,2023-05-18 18:00:50.000,-82.8058380000032,34.6397159999983,34.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660617,true,2023-05-18 19:00:44.000,-82.8059450000032,34.6396509999983,9.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660618,true,2023-05-19 01:01:55.000,-82.8076080000032,34.6394149999983,23.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660619,true,2023-05-19 08:02:07.000,-82.7988860000031,34.6389749999984,23.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660620,true,2023-05-19 11:01:06.000,-82.8059770000032,34.6386749999984,41.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660621,true,2023-05-19 13:01:55.000,-82.8059560000032,34.6385889999983,34.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660622,true,2023-05-19 15:01:30.000,-82.8060420000032,34.6385349999984,43.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660623,true,2023-05-19 16:00:55.000,-82.8054840000032,34.6380849999984,23.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660624,true,2023-05-19 19:02:36.000,-82.8055160000032,34.6381169999984,17.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660625,true,2023-05-19 21:00:49.000,-82.8055270000032,34.6381809999984,9.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660626,true,2023-05-19 22:00:38.000,-82.8055380000032,34.6381279999984,9.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660627,true,2023-05-19 23:00:51.000,-82.8054090000032,34.6380529999984,24.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660628,true,2023-05-20 00:00:51.000,-82.8055380000032,34.6381059999984,25.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660629,true,2023-05-20 04:01:39.000,-82.8035630000032,34.6399949999984,15.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660630,true,2023-05-20 10:02:00.000,-82.8005810000032,34.6408959999984,44.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660631,true,2023-05-20 11:01:25.000,-82.8053550000032,34.6395219999984,41.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660632,true,2023-05-20 13:00:50.000,-82.8058170000032,34.6389429999984,44.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660633,true,2023-05-20 14:00:52.000,-82.8060100000032,34.6385779999984,24.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660634,true,2023-05-20 16:00:50.000,-82.8052480000032,34.6378589999984,43.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660635,true,2023-05-20 17:01:02.000,-82.8057520000032,34.6376559999984,16.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660636,true,2023-05-20 20:00:42.000,-82.8057630000032,34.6378379999983,9.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660637,true,2023-05-21 00:01:07.000,-82.8072330000032,34.6381059999983,26.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660638,true,2023-05-21 01:02:06.000,-82.8080800000032,34.6344799999983,31.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660639,true,2023-05-21 04:02:37.000,-82.8076080000032,34.6359499999983,37.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660640,true,2023-05-21 05:01:02.000,-82.8078760000032,34.6342869999984,23.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660641,true,2023-05-21 06:01:42.000,-82.8069540000032,34.6338579999983,29.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660642,true,2023-05-21 08:01:37.000,-82.8066960000032,34.6399299999984,19.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660643,true,2023-05-21 10:03:01.000,-82.8074800000032,34.6392429999984,28.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660644,true,2023-05-21 13:02:50.000,-82.8058380000032,34.6382029999983,43.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660645,true,2023-05-21 14:00:49.000,-82.8059990000032,34.6386319999984,9.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660646,true,2023-05-21 19:01:56.000,-82.8064170000032,34.6386319999983,41.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660647,true,2023-05-21 21:00:50.000,-82.8069220000032,34.6384599999983,23.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
40248660648,true,2023-05-21 22:00:51.000,-82.8066430000032,34.6382889999984,15.5,"gps","Sus scrofa","737839","F16","Wild pigs in Clemson Experimental Forest (South Carolina USA)"
